County,TemperatureChange,RainfallDeviation,WildfireRisk,DroughtSeverity,AirQualityIndex,WaterStress
Los Angeles,1.8681702711950723,3.8803412123701477,5.315996753226278,5.35310532601214,87.52004477761008,4.516735245962809
San Diego,1.6406391875618676,-22.484755175497206,4.707612538092876,5.206763897163329,48.99936453284185,4.540912480098501
Orange,1.76417467731088,-4.1475335612527005,3.727728154287029,4.81212067100688,58.08585928061693,4.198095053720095
Riverside,2.422227462273275,4.726136352296173,4.198780897489756,4.50640254667997,90.26237757538308,4.439760081797809
San Bernardino,2.0790147691771486,-11.311768373239222,5.20195864192335,5.172722426915411,53.19160466456766,4.381962522481355
Santa Clara,2.940757542311061,-26.71957768866378,3.089343351411755,3.666147472164517,80.71802589180663,3.3958403310422463
Alameda,2.495078075939822,-24.18180881625277,5.678571252918896,4.402313663417548,69.79677835469285,4.8827494990509805
Sacramento,2.5756984458994308,2.9388785671644797,5.1405913470328155,3.009873537696421,94.99168315059748,4.068020206976832
Contra Costa,2.609585072990369,-6.398166236262121,4.802305034075967,4.464299826284478,117.82778967919762,3.9801750928615776
Fresno,2.24771007148959,-7.082702978142613,4.3130758613303835,8.579931564676132,46.55142115947412,7.244499860779631
Kern,2.884615478618533,-20.391334345224234,4.166702984048737,8.95616160799305,84.21887162100823,6.156924752403889
San Francisco,1.408857758478487,-29.420405606878475,4.936795751658742,4.541522331007862,106.03211100117665,4.950199540445364
Ventura,2.753685991980213,-17.540988674281373,3.7276772945725956,3.9143434181280945,53.26777196186183,3.7569428565449834
San Mateo,2.52830573613625,4.460689559070175,5.732315011538252,3.1229293917915744,65.46762555764948,3.2212525198562227
San Joaquin,2.945812160259628,-9.36015632695629,4.940895809791716,5.959588082433202,108.51441866972168,3.8180623287170956
Stanislaus,2.2844955637035635,-0.027019992699969464,3.920568017708342,3.033018503316246,86.24272595428947,3.312861739612611
Sonoma,2.302979255919209,4.705620694204946,7.109893904806228,3.7440603535348673,99.35424095536219,3.540660679593273
Tulare,2.1309245037975355,-17.289452597591396,3.1076138608029495,8.561198727452407,53.497560794694806,6.776761128442534
Santa Barbara,2.8507228309534094,6.905359653220572,5.77868810742091,3.33791528085361,109.0683478100357,3.9569927002894434
Monterey,1.4864060073083052,-23.90801455839304,3.4843138584438815,3.211881659978047,118.18808015336849,3.0369080829369537
Placer,2.1310574529387143,2.072576439417567,4.711145730962265,4.62379495940475,87.84368870140513,4.875261214506341
San Luis Obispo,2.149139354051643,-25.83181680249687,4.658069084981458,3.3286234860558976,52.27362654381755,3.092163443208185
Merced,2.6423816350946705,-20.998700614824276,3.799340914565259,7.978088650906819,55.16921119586119,7.10161144423173
Santa Cruz,1.128810057926248,-18.32902173059082,5.2327768762155245,4.725104273732008,93.87797936623824,3.3425806585672184
Marin,2.438609792414855,-9.181144520137291,4.5637427619363296,5.6032705337366195,55.03605375931275,4.4676913444974
Solano,2.012566014019733,-17.010712106683492,5.388479943629374,5.728558996630944,40.931619956187554,4.293839403160333
Yolo,2.192297126756646,-15.587156067846365,4.39612552616461,3.8490660310525637,59.33312085367169,4.659484940527657
Butte,2.357605569320598,5.560109449329197,9.721949568412754,4.426558031313537,82.69615026110228,4.0815397222994365
El Dorado,2.475851206879466,-5.034734967004745,3.674135097881003,4.8809189004619515,37.60163149352163,4.811087403929109
Imperial,2.3543781569784366,-26.29097482755415,5.401772234590274,9.92370143476749,107.19747597631753,6.435371866658261
Shasta,2.154326395189192,-10.071463573957985,8.39206419319539,3.896791669729545,119.21916014266812,4.519832857083238
Madera,2.705843722570959,-25.074436937181726,5.335712437121921,8.904687219375749,119.74460680269888,7.5930424418690015
Kings,2.0465284788208513,-0.026088646683533057,3.5606822797005075,7.303643446853018,68.96991173336421,6.0029797068564275
Napa,2.350691839728388,-5.59460253089587,7.348910672389538,5.372218299180251,107.08173232015095,3.757313210528779
Humboldt,1.956111326268751,-14.234417668045513,4.006830185503021,4.496708818733136,83.68423213720078,4.997306856770606
Nevada,2.9930054747088817,-28.62233717667939,5.619581347791742,5.206202171025382,80.31364290698798,4.203422020747459
Sutter,2.1890747227503122,-27.424032139403906,5.578014117220997,3.6040903326987683,76.44459645510386,3.4051003939248554
